sample_2.jpg,A cat sitting on a windowsill looking out.
sample_0.jpg,"Two dogs playing in the snow, running and jumping."
sample_17.jpg,A narrow kitchen filled with appliances and cooking utensils.
sample_14.jpg,A kitchen filled with black appliances and lots of counter top space.
sample_18.jpg,A kitchen with wood floors and lots of furniture.
sample_13.jpg,this is a very dark picture of a room with a shelf
sample_7.jpg,a boy wearing headphones using one computer in a long row of computers
sample_19.jpg,A woman eating vegetables in front of a stove.
sample_4.jpg,A woman wearing a net on her head cutting a cake. 
sample_16.jpg,A man on a bicycle riding next to a train
sample_15.jpg,A professional kitchen filled with sinks and appliances.
sample_9.jpg,A young girl inhales with the intent of blowing out a candle. 
sample_20.jpg,A kitchen is shown with a variety of items on the counters.
sample_21.jpg,A boy performing a kickflip on his skateboard on a city street.
sample_22.jpg,"A kitchen with a stove, microwave and refrigerator."
sample_10.jpg,A commercial stainless kitchen with a pot of food cooking. 
sample_8.jpg,A woman in a room with a cat.
sample_11.jpg,Two men wearing aprons working in a commercial-style kitchen.
sample_5.jpg,A child holding a flowered umbrella and petting a yak.
sample_6.jpg,A young boy standing in front of a computer keyboard.
sample_12.jpg,Two chefs in a restaurant kitchen preparing food. 
sample_3.jpg,A man with a red helmet on a small moped on a dirt road. 
sample_35.jpg,A toilet and a sink in small bathroom.
sample_24.jpg,A wooden ball on top of a wooden stick.
sample_23.jpg,A group of people riding on the back of a loaded red pickup truck.
sample_26.jpg,A large boat filled with mean on wheels.
sample_29.jpg,a couple of women  are in a kitchen
sample_30.jpg,The woman in the kitchen is holding a huge pan.
sample_27.jpg,several young students working at a desk with multiple computers
sample_41.jpg,A white toilet sitting next to a green wall under a picture.
sample_32.jpg,"Two bikers, one in front of a building, the other in the city."
sample_31.jpg,A baby is laying down with a teddy bear.
sample_39.jpg,a long beige bathroom with a door to a bedroom and another to the hallway
sample_25.jpg,Multiple wooden spoons are shown on a table top.
sample_37.jpg,A shower stall with interesting tile is the focal point.
sample_28.jpg,A man riding an elephant into some water of a creek.
sample_36.jpg,A bicycle store shows two males leaning toward a bike.
sample_38.jpg,A view of a very large bathroom with mirrored walls.
sample_42.jpg,A bathroom with an enclosed shower next to a sink and a toilet.
sample_40.jpg,The view of a large bathroom with a walk in closet.
sample_34.jpg,A little girl holding a kitten next to a blue fence.
sample_33.jpg,People riding bicycles down the road approaching a bird.
sample_46.jpg,A bathroom with a walk in shower currently under repair.
sample_45.jpg,Two dogs are looking up while they stand near the toilet in the bathroom.
sample_44.jpg,This is an image of the inside of a nice bathroom.
sample_56.jpg,A woman rides a bicycle on a road next to the median.
sample_48.jpg,A white bath tub sitting next to a bathroom sink.
sample_50.jpg,A toilet sitting in a bathroom next to a sink.
sample_49.jpg,A full view of a shower with glass.
sample_52.jpg,A bathroom with a sink and toilet and a window.
sample_51.jpg,Blue dust pan and brush on floor next to white commode.
sample_53.jpg,There are two sinks next to two mirrors.
sample_43.jpg,people on bicycles ride down a busy street 
sample_47.jpg,The bathroom is clean for the guests to use. 
sample_57.jpg,"A man takes a picture in the bathroom mirror
"
sample_58.jpg,A bathroom with a white toilet sitting next to a bathroom sink.
sample_54.jpg,A large porcelain toilet posed with a tan flower pot. 
sample_60.jpg,The bathroom is clean and ready to be used. 
sample_61.jpg,A bath tub sitting next to a sink in a bathroom.
sample_55.jpg,a gray bicycle is locked to some metal doors
sample_62.jpg,an image of a cars driving on the highway
sample_59.jpg,A bathroom with two sinks and a shower.
sample_64.jpg,Mirror view of a bathroom with a sink and tub.
sample_65.jpg,A city street filled with traffic and parking lights.
sample_69.jpg,A row of parked cars sitting next to parking meters.
sample_73.jpg,A white urinal mounted to a bathroom wall.
sample_63.jpg,This shot is of a crowded highway full of traffic
sample_66.jpg,A white toilet and a sink in a room.
sample_68.jpg,"A door opens to a bare, white bathroom. "
sample_70.jpg,"An elegant bathroom features a tub, sink, mirror, and decorations. "
sample_72.jpg,A bathroom sink sitting under a large mirror.
sample_67.jpg,A bathroom sink shapped like a glass bowl.
sample_71.jpg,A clean bathroom is seen in this image.
sample_74.jpg,A glazed donut hanging from a metal rod.
sample_80.jpg,A young man wearing black attire and a flowered tie is standing and smiling.
sample_76.jpg,A large jetliner flying over a traffic filled street.
sample_77.jpg,A silver and red bus in parking lot next to cars.
sample_75.jpg,An orange striped tabby cat laying on top of a red vehicle's wheel.
sample_82.jpg,A person on a street next to a motor bike.
